NO.,NAMA KAPAL,CABANG,TANGGAL KEDATANGAN,TANGGAL KEBERANGKATAN,DARI,TUJUAN,,PENUMPANG TURUN,PENUMPANG NAIK,"JUMLAH
CREW"
310,STAR CLIPPER,BENOA,22/6/19,22/6/19,GILI MENO,GILI KONDO,,73,153,77
311,STAR CLIPPER,BENOA,29/6/19,29/6/19,GILI NANGGU,GILI GENTENG,,153,147,74
312,STAR CLIPPER,BENOA,06/7/19,06/7/18,GILI SUDAK,GILI KONDO,,127,136,68
313,PANORAMA II,BENOA,06/7/19,06/7/19,LOMBOK,KERAMAT ISLAND,,32,22,11
314,SILVER DISCOVERER,BENOA,09/7/19,09/7/19,TANJUNG WANGI,TANJUNG WANGI,,79,90,45
315,MS. SILVER DISCOVERER,TANJUNG TEMBAGA,11/7/19,11/7/19,TANJUNGWANGI,SUMENEP,,90,90,45
316,STAR CLIPPER,BENOA,13/7/19,13/7/19,GILI NANGGU,GILI GENTENG,,116,110,55
317,PANORAMA II,BENOA,13/7/19,20/7/19,LOMBOK,KERAMAT ISLAND,,23,49,25
318,MV. SILVER DISCOVERER,SEMARANG,14/7/19,14/7/19,KARIMUNJAWA,SINGAPORE,,97,97,49
319,STAR CLIPPER,BENOA,20/7/19,20/7/19,GILI SUDAK,GILI KONDO,,146,110,55
320,PANORAMA II,BENOA,27/7/19,27/7/19,LOMBOK,KERAMAT ISLAND,,49,16,8
321,MV. GENTING DREAM,TANJUNG PERAK,30/7/19,30/7/19,SINGAPURA,CELUKAN BAWANG,,"3,068","3,068","1,534"
322,STAR CLIPPER,BENOA,31/7/19,31/7/19,GILI SUDAK,GILI KONDO,,113,106,53
323,MS GENTING DREAM,CELUKAN BAWANG,31/7/19,31/7/19,SINGAPORE,SURABAYA,,"2,665","2,665","1,333"
324,PANORAMA II,BENOA,03/8/19,03/8/19,LOMBOK,KERAMAT ISLAND,,16,46,23
325,STAR CLIPPER,BENOA,10/8/19,10/8/19,GILI SUDAK,GILI KONDO,,107,158,79
326,PASIFIC DAWN,BENOA,10/8/19,10/8/19,KOMODO,SINGAPORE,,7,5,3
327,STAR CLIPPER,BENOA,17/8/19,17/8/19,GILI NANGGU,GILI GENTENG,,138,131,66
328,PANORAMA II,BENOA,17/8/19,17/8/19,LOMBOK,KERAMAT ISLAND,,45,10,5
329,MS. STAR CLIPPER,TANJUNG TEMBAGA,20/8/19,20/8/19,"GILI GENTENG, MADUR","LOVINA, BALI",,154,154,77
330,STAR CLIPPER,BENOA,24/8/19,24/8/19,GILI SUDAK,GILI KONDO,,120,124,62
331,PANORAMA II,BENOA,24/8/19,24/8/19,LOMBOK,KERAMAT ISLAND,,9,28,14
332,MV. GENTING DREAM,TANJUNG PERAK,27/8/19,27/8/19,SINGAPURA,CELUKAN BAWANG,,"2,039","2,039","1,020"
333,PASIFIC DAWN,BENOA,28/8/19,28/8/19,SINGAPORE,KOMODO,,9,5,3
334,MS GENTING DREAM,CELUKAN BAWANG,28/8/19,28/8/19,SINGAPORE,SURABAYA,,"3,098","3,098","1,549"
335,PANORAMA II,BENOA,31/8/19,31/8/19,LOMBOK,PULAU KENAWA,,29,47,24
336,STAR CLIPPER,BENOA,31/8/19,31/8/19,GILI NANGGU,GILI GENTENG,,147,123,62
337,MS. STAR CLIPPER,TANJUNG TEMBAGA,03/9/19,03/9/19,"GILI GENTENG, MADUR","LOVINA, BALI",,133,133,67
338,STAR CLIPPER,BENOA,07/9/19,07/9/19,GILI SUDAK,GILI KONDO,,128,143,72
339,PANORAMA II,BENOA,07/9/19,07/9/19,LOMBOK,KERAMAT ISLAND,,45,31,16
340,LAPEROUSE,BENOA,11/9/19,11/9/19,KOMODO,PULAU BANTA,,122,126,63
341,MV. LE LAPEROUSE,SEMARANG,13/9/19,13/9/19,BENOA,SINGAPORE,,156,156,78
342,STAR CLIPPER,BENOA,14/9/19,14/9/19,GILI NANGGU,GILI GENTENG,,130,126,63
343,PANORAMA II,BENOA,14/9/19,14/9/19,LOMBOK,KERAMAT ISLAND,,143,109,55
344,STAR CLIPPER,BENOA,21/9/19,21/9/19,GILI SUDAK,GILI MENO,,45,23,12
345,PANORAMA II,BENOA,21/9/19,21/9/19,LOMBOK,KERAMAT ISLAND,,46,45,23
346,SPV. STAR CLIPPER,SEMARANG,27/9/19,27/9/19,"SUMENEP,MADURA",SINGAPORE,,110,110,55
347,CORAL ADVENTURER,ENDE,30/9/19,30/9/19,PULAU KOMODO,KALABAHI,,81,81,41
348,SUN PRINCESS,BENOA,05/10/19,05/10/19,HO CHI MINH,DARWIN,,"1,975","1,975",988
349,EXPLORER DREAM,BENOA,17/10/19,17/10/19,JAKARTA,DARWIN,,"1,283","1,283",642
350,MS SUN PRINCESS,LEMBAR,05/11/19,05/11/19,FREMANTLE,PORT KLANG,,"1,988","1,988",994
351,SILVER MUSE,SEMARANG,20/11/19,20/11/19,SINGAPURA,BENOA,,567,567,284
352,AIDA VITA,SEMARANG,21/11/19,21/11/19,SINGAPURA,SURABAYA,,"1,238","1,238",619
353,MV. AIDA VITA,TANJUNG PERAK,22/11/19,22/11/19,SEMARANG,LABUAN BAJO,,"1,114","1,114",557
354,SILVER MUSE,BENOA,22/11/19,22/11/19,SEMARANG,MALAYSIA,,524,48,24
355,SUN PRINCESS,BENOA,23/11/19,23/11/19,KO SAMUI,FREMANTLE,,"1,961",22,11
356,MV. AIDAVITA,LEMBAR,25/11/19,25/11/19,KOMODO,BENOA,,"1,114","1,114",557
357,AIDA VITA,BENOA,26/11/19,27/11/19,LEMBAR,SINGAPORE,,"1,238","1,238",619
358,CARNIVAL SPLENDOR,BENOA,28/11/19,28/11/19,CELUKAN BAWANG,KOMODO,,"3,031","3,004","1,502"
359,MS SEABOURN ENCORE,SEMARANG,30/11/19,30/11/19,SINGAPURA,SURABAYA,,547,547,274
360,MV. SEABORN ENCORE,TANJUNG PERAK,01/12/19,01/12/19,SEMARANG,PROBOLINGGO,,567,567,284
361,MS SUN PRINCESS,LEMBAR,01/12/19,01/12/19,FREMANTLE,PORT KLANG,,"1,930","1,931",966
362,SEABOURN ENCORE,BENOA,04/12/19,04/12/19,SURABAYA,DARWIN,,567,580,290
363,AIDAVITA,SEMARANG,04/12/19,04/12/19,SINGAPORE,DARWIN,,987,987,494
364,AIDA VITA,BENOA,06/12/19,07/12/19,SURABAYA,DARWIN,,987,988,494
365,BOUDICCA,SEMARANG,06/12/19,06/12/19,SINGAPORE,BROOME,,540,540,270
366,MV BOUDICCA,LEMBAR,08/12/19,08/12/19,TANJUNG EMAS,KOMODO,,540,540,270
367,VIKING ORION,SEMARANG,08/12/19,08/12/19,JAKARTA,DARWIN,,887,887,444
368,MV. VIKING ORION,TANJUNG PERAK,09/12/19,09/12/19,SEMARANG,BENOA,,883,883,442
369,VIKING ORION,BENOA,10/12/19,11/12/19,SURABAYA,LEMBAR,,887,826,413
370,BOUDICCA,BENOA,10/12/19,12/12/19,KOMODO,BROOME,,540,585,293
371,MV VIKING ORION,LEMBAR,12/12/19,12/12/19,BENOA,KOMODO,,897,899,450
372,SAPPHIRE PRINCESS,BENOA,14/12/19,14/12/19,THAILAND,SINGAPORE,,"2,784","2,762","1,381"
373,MV. AIDA VITA,LEMBAR,16/12/19,16/12/19,KOMODO,TANJUNG PERAK,,977,977,489
374,MV. AIDA VITA,TANJUNG PERAK,18/12/19,18/12/19,LEMBAR,SINGAPURA,,976,976,488
375,SUN PRINCESS,BENOA,19/12/19,19/12/19,KOSAMUI,FREMANTLE,,"1,977","1,961",981
376,REGATTA,BENOA,20/12/19,21/12/19,KOMODO,EXMOUTH,,633,650,325
377,SEVEN SEAS VOYAGER,SEMARANG,23/12/19,23/12/19,JAKARTA,DARWIN,,619,619,310
378,SEVEN SEAS VOYAGER,BENOA,25/12/19,26/12/19,TJ EMAS,KOMODO,,618,616,308
379,SAPPHIRE PRINCESS,BENOA,31/12/19,31/12/19,SINGAPORE,PORT KLANG,,"2,690","2,690","1,345"
380,SUN PRINCESS,SEMARANG,31/12/19,31/12/19,UJUNG,GERALDTON,,"2,107","2,107","1,054"
381,MS SEABOURN ENCORE,CELUKAN BAWANG,03/12/19,03/12/19,PROBOLINGGO,BENOA,,567,567,284
382,MV. STAR LEGEND,Tanjung Priok,10/1/19,10/1/19,SEMARANG,SINGAPURA,,179,179,91
383,MV. VIKING ORION,Tanjung Priok,30/3/19,31/3/19,SEMARANG,SINGAPURA,,941,941,280
384,MV. STAR CLIPPER,Tanjung Priok,13/6/19,13/6/19,KEP. SERIBU,KARIMUN JAWA,,72,73,37
385,MV. STAR CLIPPER,Tanjung Priok,30/9/19,30/9/19,KARIMUN JAWA,KEP. SERIBU,,110,110,37
386,MV. EXPLORER DREAM,Tanjung Priok,15/10/19,15/10/19,SINGAPURA,"BENOA,BALI",,1283,1288,642
387,MS. VIKING ORION,Tanjung Priok,06/12/19,07/12/19,SINGAPURA,SEMARANG,,888,887,280
388,MS. SEVEN SEAS VOYAGER,Tanjung Priok,22/12/19,22/12/19,SINGAPURA,SEMARANG,,623,619,310
389,SUN PRINCESS,BENOA,03/1/20,03/1/20,SINGAPORE,PORT KLANG,,"2,105","2,088",1044
390,OCEAN DREAM,BENOA,03/1/20,04/1/20,LEMBAR,LEMBAR,,"1,035","1,018",509
